"IdSensore","NomeTipoSensore","UnitaMisura","Idstazione","NomeStazione","Quota","Provincia","Comune","Storico","DataStart","DataStop","Utm_Nord","UTM_Est","lat","lng","Location"
"10506","Benzene","µg/m³","1269","Dalmine v.Verdi","207","BG","Dalmine","N","01/09/2010",,"5055304","546847","45.64971","9.60123469","POINT (9.60123469 45.64971)"
"6304","Ossidi di Azoto","µg/m³","532","Cuggiono v. Languria","156","MI","Cuggiono","S","01/01/1990","01/01/2017","5038680","484723","45.50148956","8.80445883","POINT (8.80445883 45.50148956)"
"5805","Monossido di Carbonio","mg/m³","574","Lecco v. Amendola","214","LC","Lecco","N","17/02/1991",,"5077479","530713","45.85019631","9.39558125","POINT (9.39558125 45.85019631)"
"10282","Ozono","µg/m³","705","Milano Pascal Città Studi","122","MI","Milano","N","16/06/2007",,"5036190","518405","45.478347","9.231667","POINT (9.231667 45.478347)"
"5661","Biossido di Zolfo","µg/m³","591","Seriate v. Garibaldi","256","BG","Seriate","S","31/10/1991","03/06/2003","5059449","555672","45.68636206","9.71495853","POINT (9.71495853 45.68636206)"
"10131","Biossido di Azoto","µg/m³","700","Melara v. dell'Artigianato","12","RO","Melara","S","28/11/2006","01/01/2018","4992347","673928","45.06321458","11.20922257","POINT (11.20922257 45.06321458)"
"6254","Ossidi di Azoto","µg/m³","575","Nibionno v.della Chiesa","310","LC","Nibionno","S","08/01/1992","30/07/2018","5066429","520613","45.75111892","9.26502439","POINT (9.26502439 45.75111892)"
"10390","PM10 (SM2005)","µg/m³","556","Gallarate  P.zza S.Lorenzo","240","VA","Gallarate","S","01/01/2003","30/07/2018","5056010","484229","45.65746297","8.79757739","POINT (8.79757739 45.65746297)"
"5815","Monossido di Carbonio","mg/m³","536","Arese v. Matteotti","157","MI","Arese","S","15/10/1991","22/07/2011","5043325","506302","45.54343664","9.08072867","POINT (9.08072867 45.54343664)"
"10004","Ossidi di Azoto","µg/m³","684","Truccazzano via Fornasino","105","MI","Truccazzano","S","17/02/2006","01/01/2018","5036889","536835","45.48455958","9.47134686","POINT (9.47134686 45.48455958)"
"5822","Monossido di Carbonio","mg/m³","505","Legnano v.Diaz","199","MI","Legnano","S","19/01/1990","27/07/2011","5049180","493668","45.595389","8.922039","POINT (8.922039 45.595389)"
"10133","Monossido di Carbonio","mg/m³","700","Melara v. dell'Artigianato","12","RO","Melara","S","28/11/2006",,"4992347","673928","45.06321458","11.20922257","POINT (11.20922257 45.06321458)"
"5790","Monossido di Carbonio","mg/m³","592","Treviglio p.zza Insurrezione","191","BG","Treviglio","N","01/12/1994",,"5040815","546236","45.51933533","9.59201917","POINT (9.59201917 45.51933533)"
"5528","Biossido di Azoto","µg/m³","525","Corsico v.le Italia","119","MI","Corsico","S","30/10/1989","30/07/2018","5031403","507619","45.43611269","9.09741197","POINT (9.09741197 45.43611269)"
"5674","Biossido di Zolfo","µg/m³","588","Tavernola Bergamasca v.Riva di Sotto","191","BG","Tavernola Bergamasca","S","09/08/1990","12/09/2011","5063058","581311","45.71630489","10.04477436","POINT (10.04477436 45.71630489)"
"20493","Ossidi di Azoto","µg/m³","1801","Brescia v.Tartaglia","151","BS","Brescia","N","01/01/2021",,"5043948","594556","45.54264789","10.21120522","POINT (10.21120522 45.54264789)"
"6761","Biossido di Azoto","µg/m³","649","Brescia v.Broletto","149","BS","Brescia","N","01/01/1983",,"5043674","595467","45.54006456","10.22281989","POINT (10.22281989 45.54006456)"
"5695","Biossido di Zolfo","µg/m³","601","Montanaso Lombardo SP 202","84","LO","Montanaso Lombardo","S","13/01/2000","11/04/2008","5020391","535459","45.33613419","9.45255314","POINT (9.45255314 45.33613419)"
"6908","PM10 (SM2005)","µg/m³","531","Pioltello Limito","114","MI","Pioltello","N","21/02/1998",,"5036730","525583","45.48363242","9.32736196","POINT (9.32736196 45.48363242)"
"9993","Biossido di Azoto","µg/m³","682","Ferrera Erbognone ENI","88","PV","Ferrera Erbognone","N","21/01/2006",,"4995567","490094","45.11351117","8.87407772","POINT (8.87407772 45.11351117)"
"5736","Ozono","µg/m³","575","Nibionno v.della Chiesa","310","LC","Nibionno","S","07/11/1996","01/01/2018","5066429","520613","45.75111892","9.26502439","POINT (9.26502439 45.75111892)"
"10039","Monossido di Carbonio","mg/m³","687","Ferno v.Di Dio","215","VA","Ferno","S","06/11/2006","31/12/2022","5051773","481053","45.61924753","8.75697656","POINT (8.75697656 45.61924753)"
"17163","Benzene","µg/m³","655","Darfo Boario Terme v. De Amicis","221","BS","Darfo Boario Terme","S","05/10/2012","12/07/2023","5080789","591371","45.87460256","10.17736553","POINT (10.17736553 45.87460256)"
"6907","PM10 (SM2005)","µg/m³","513","Trezzo sull'Adda v.Nenni","199","MI","Trezzo sull'Adda","S","03/04/2001","01/01/2017","5051253","539618","45.61370028","9.508134","POINT (9.508134 45.61370028)"
"5753","PM10","µg/m³","553","Saronno v.Marconi","211","VA","Saronno","S","22/11/2000","12/12/2003","5052270","502902","45.62397317","9.03723114","POINT (9.03723114 45.62397317)"
"6226","Ossidi di Azoto","µg/m³","587","Casnigo via Europa","514","BG","Casnigo","S","08/11/1989","05/05/2005","5073819","567412","45.81464142","9.86771003","POINT (9.86771003 45.81464142)"
"20157","Particelle sospese PM2.5","µg/m³","642","Pavia v. Folperti","77","PV","Pavia","N","20/11/2013",,"5004590","512932","45.19468231","9.16464919","POINT (9.16464919 45.19468231)"
"17084","Arsenico","ng/m³","569","Sondrio v.Mazzini","307","SO","Sondrio","S","01/04/2008","26/12/2011","5113078","567173","46.16797103","9.87014581","POINT (9.87014581 46.16797103)"
"9978","Particelle sospese PM2.5","µg/m³","609","Casirate d'Adda v. Cimitero","108","BG","Casirate d'Adda","N","11/11/2005",,"5038450","543458","45.49822794","9.55624181","POINT (9.55624181 45.49822794)"
"17293","PM10 (SM2005)","µg/m³","1264","Sondrio v.Paribelli","290","SO","Sondrio","N","09/10/2012",,"5113073","567873","46.16785664","9.87921169","POINT (9.87921169 46.16785664)"
"6931","PM10 (SM2005)","µg/m³","583","Bergamo v.Meucci","249","BG","Bergamo","N","03/07/2000",,"5059922","550116","45.69104328","9.64366092","POINT (9.64366092 45.69104328)"
"17288","Ozono","µg/m³","1374","Monza Parco","181","MB","Monza","N","09/02/2013",,"5049780","521452","45.603072","9.276156","POINT (9.276156 45.603072)"
"20491","Biossido di Azoto","µg/m³","1800","Brescia S.Polo","124","BS","Brescia","N","07/12/2020",,"5040227","598141","45.5086668","10.25637025","POINT (10.25637025 45.5086668)"
"5567","Biossido di Azoto","µg/m³","564","Erba v. Battisti","279","CO","Erba","S","13/06/2009","11/07/2024","5072803","517232","45.8085738","9.2217792","POINT (9.2217792 45.8085738)"
"5644","Biossido di Zolfo","µg/m³","519","Tribiano","94","MI","Tribiano","S","08/03/1982","29/03/2006","5028070","529033","45.40554908","9.37099244","POINT (9.37099244 45.40554908)"
"10177","Ossidi di Azoto","µg/m³","704","Sermide e Felonica v. Dalla Chiesa","11","MN","Sermide e Felonica","S","29/11/2006","01/01/2017","4986023","680789","45.00461511","11.29402483","POINT (11.29402483 45.00461511)"
"10018","Benzene","µg/m³","685","Calusco d'Adda v. Caduti sul Lavoro","273","BG","Calusco d'Adda","N","30/06/2006",,"5059767","537706","45.69043647","9.48426111","POINT (9.48426111 45.69043647)"
"12695","Piombo","ng/m³","1264","Sondrio v.Paribelli","290","SO","Sondrio","N","01/04/2008",,"5113073","567873","46.16785664","9.87921169","POINT (9.87921169 46.16785664)"
"5589","Biossido di Azoto","µg/m³","586","Costa Volpino v.Nazionale","192","BG","Costa Volpino","S","26/07/1993","30/07/2018","5075429","585212","45.82716061","10.09707131","POINT (10.09707131 45.82716061)"
"6284","Ossidi di Azoto","µg/m³","511","Abbiategrasso v. Serafino Dell'Uomo","118","MI","Abbiategrasso","S","23/01/1998","30/07/2018","5026880","493223","45.39541003","8.91341828","POINT (8.91341828 45.39541003)"
"20495","Biossido di Azoto","µg/m³","1801","Brescia v.Tartaglia","151","BS","Brescia","N","07/12/2020",,"5043948","594556","45.54264789","10.21120522","POINT (10.21120522 45.54264789)"
"6418","Monossido di Carbonio","mg/m³","629","Crema v.XI febbraio","79","CR","Crema","S","17/05/1996","01/01/2023","5023885","555127","45.36631075","9.70395139","POINT (9.70395139 45.36631075)"
"6791","Ozono","µg/m³","653","Brescia v.Ziziola","125","BS","Brescia","S","15/10/1997","01/01/2018","5040836","595170","45.51456611","10.21846492","POINT (10.21846492 45.51456611)"
"17040","Nikel","ng/m³","583","Bergamo v.Meucci","249","BG","Bergamo","N","13/01/2012",,"5059922","550116","45.69104328","9.64366092","POINT (9.64366092 45.69104328)"
"20525","Ammoniaca","µg/m³","545","Motta Visconti v. De Gasperi","100","MI","Motta Visconti","S","12/07/2021",,"5014273","499103","45.28196356","8.98857592","POINT (8.98857592 45.28196356)"
