IdSensore,NomeTipoSensore,Idstazione,NomeStazione,Provincia,Comune,lat,lng
5507,Biossido di Azoto,504,Sesto San Giovanni v. Cesare da Sesto,MI,Sesto San Giovanni,45.53476819,9.23610903
12611,Benzo(a)pirene,546,Magenta v. F. Turati,MI,Magenta,45.46242074,8.88021388
20862,BlackCarbon,569,Sondrio v.Mazzini,SO,Sondrio,46.16797103,9.87014581
12694,Benzo(a)pirene,560,Varese v.Copelli,VA,Varese,45.8169745,8.82024911
12590,Cadmio,669,Brescia Villaggio Sereno,BS,Brescia,45.51306214,10.19190606
9873,Particelle sospese PM2.5,554,Saronno v.Santuario,VA,Saronno,45.62735705,9.02640138
10286,Biossido di Azoto,706,Lecco v.Sora,LC,Lecco,45.86375372,9.39995481
12674,Arsenico,1264,Sondrio v.Paribelli,SO,Sondrio,46.16785664,9.87921169
20565,PM10 (SM2005),584,Bergamo v.Garibaldi,BG,Bergamo,45.69568669,9.66126061
6252,Ossidi di Azoto,576,Merate v. Madonna di Loreto,LC,Merate,45.69795956,9.40619194
10452,Biossido di Azoto,1265,Lodi S.Alberto,LO,Lodi,45.30278678,9.49528589
20575,Biossido di Zolfo,681,Moggio Loc. Penscei,LC,Moggio,45.91279097,9.49754261
9872,PM10 (SM2005),673,Voghera v.Pozzoni,PV,Voghera,44.99955481,9.00844961
6330,Ossidi di Azoto,542,Meda v. Gagarin,MB,Meda,45.660992,9.160225
12574,Particelle sospese PM2.5,693,Sannazzaro de' Burgondi v.Traversi,PV,Sannazzaro de' Burgondi,45.10277464,8.90418742
10037,Ossidi di Azoto,687,Ferno v.Di Dio,VA,Ferno,45.61924753,8.75697656
6346,Ossidi di Azoto,514,Rho via Buon Gesù,MI,Rho,45.52342919,9.0446025
5710,Ozono,544,Cormano v. Edison,MI,Cormano,45.547597,9.166983
6356,Ossidi di Azoto,504,Sesto San Giovanni v. Cesare da Sesto,MI,Sesto San Giovanni,45.53476819,9.23610903
5545,Biossido di Azoto,542,Meda v. Gagarin,MB,Meda,45.660992,9.160225
6212,Ossidi di Azoto,596,Osio Sotto v.per Levate,BG,Osio Sotto,45.62055568,9.61173782
20758,Ossidi di Azoto,1322,DarfoBT,BS,Darfo Boario Terme,45.87626097,10.17883506
6955,PM10 (SM2005),663,Mantova v.Ariosto,MN,Mantova,45.14526864,10.80333489
12621,Cadmio,542,Meda v. Gagarin,MB,Meda,45.660992,9.160225
5953,Biossido di Azoto,627,Cremona P.zza Cadorna,CR,Cremona,45.13195042,10.01574064
10483,PM10 (SM2005),1265,Lodi S.Alberto,LO,Lodi,45.30278678,9.49528589
10079,Biossido di Azoto,695,Ponti sul Mincio v.San Martino,MN,Ponti sul Mincio,45.41277633,10.68336214
5551,Biossido di Azoto,548,Milano v.Senato,MI,Milano,45.470501,9.19746075
10329,Ossidi di Azoto,708,Parona v. della Miseria,PV,Parona,45.28194289,8.75433614
9860,Ossidi di Azoto,673,Voghera v.Pozzoni,PV,Voghera,44.99955481,9.00844961
5842,Monossido di Carbonio,571,Bormio v.Monte Braulio,SO,Bormio,46.46952397,10.37543275
20529,Particelle sospese PM2.5,501,Milano v.Marche,MI,Milano,45.49631883,9.19093444
6402,Ossidi di Azoto,552,Varese v.Vidoletti,VA,Varese,45.83690178,8.80393513
5725,Ozono,528,Milano Verziere,MI,Milano,45.46334886,9.19532511
6408,Ossidi di Azoto,626,Corte de' Cortesi con Cignone v. Villa Strada Forca,CR,Corte de' Cortesi con Cignone,45.27848997,10.00620528
6264,Ossidi di Azoto,608,Codogno v.Trento,LO,Codogno,45.15937678,9.69815314
12664,Piombo,681,Moggio Loc. Penscei,LC,Moggio,45.91279097,9.49754261
10017,Ossidi di Azoto,685,Calusco d'Adda v. Caduti sul Lavoro,BG,Calusco d'Adda,45.69043647,9.48426111
20564,Particelle sospese PM2.5,1801,Brescia v.Tartaglia,BS,Brescia,45.54264789,10.21120522
6818,Ozono,656,Gambara v.Parma,BS,Gambara,45.24955194,10.29913
10587,Ammoniaca,1266,Bertonico v.Moro,LO,Bertonico,45.23349689,9.66625758
10384,Benzene,693,Sannazzaro de' Burgondi v.Traversi,PV,Sannazzaro de' Burgondi,45.10277464,8.90418742
20934,BlackCarbon,542,Meda v. Gagarin,MB,Meda,45.660992,9.160225
5576,Biossido di Azoto,573,Colico v.La Madoneta,LC,Colico,46.1381409,9.38468725
5721,Ozono,545,Motta Visconti v. De Gasperi,MI,Motta Visconti,45.28196356,8.98857592
10103,PM10 (SM2005),697,Borgofranco sul Po loc. Bonizzo,MN,Borgofranco sul Po,45.04650286,11.18094889
9920,Ossidi di Azoto,665,Viadana v. Cavalli,MN,Viadana,44.92469933,10.51750417
10016,Biossido di Zolfo,664,Mantova p.zza Gramsci,MN,Mantova,45.15175186,10.78141717
6706,Ossidi di Azoto,643,Pavia p.zza Minerva,PV,Pavia,45.18633544,9.14667703
12626,Cadmio,705,Milano Pascal Città Studi,MI,Milano,45.478347,9.231667
5534,Biossido di Azoto,531,Pioltello Limito,MI,Pioltello,45.48363242,9.32736196
6962,PM10 (SM2005),595,Filago v.Don Milani,BG,Filago,45.63387247,9.55609572
6701,Biossido di Azoto,643,Pavia p.zza Minerva,PV,Pavia,45.18633544,9.14667703
10431,Ossidi di Azoto,1264,Sondrio v.Paribelli,SO,Sondrio,46.16785664,9.87921169
12619,Nikel,542,Meda v. Gagarin,MB,Meda,45.660992,9.160225
9971,Monossido di Carbonio,679,Valmadrera v.Pozzi,LC,Valmadrera,45.84221272,9.35166247
9997,Ozono,682,Ferrera Erbognone ENI,PV,Ferrera Erbognone,45.11351117,8.87407772
10586,Particelle sospese PM2.5,677,Cremona Via Fatebenefratelli,CR,Cremona,45.14254358,10.04384767
